.1ord,ord_regex,.1definition,.1subgrupp,huvudgrupp
datorprogram,,,,
datorseende,,,,
datorsystem,,,,
datorsäkerhet,,it-säkerhet,it-säkerhet,
db2,,,,
dbd,,,,
dbms,,,,
dchp,,,,
dcpu-16 asm,,,,
dcs-system,,,,
ddd,,,,
ddos,,ddos,it-säkerhet,
debian,,debian,operativsystem,
debug,,,,
debugger,,,,
debuggers,,,,
decoder,,,,
dect-telefoner,,,,
defekter,,,,
definiering,,,,
delansvar,,,,
delegering,,,,
deletion,,,,
delmia,,,,
delmontage,,,,
delning,,,,
delphi,,,,
demomiljöer,,,,
dependency injection,,dependency injection,dependency injection,
derivat,,,,
design,,design,design,
design patterns,,design patterns,design patterns,
designarbete,,design,design,
designdokumentation,,designdokumentation,design,
designerfarenhet,,design,design,
designforskning,,design,design,
designfrågor,,design,design,
designförändringar,,design,design,
designlösningar,,design,design,
designmetoder,,designmetoder,design,
designmetodik,,designmetodik,design,
designmodeller,,designmodeller,design,
designmönster,,design,design,
designplaner,,designplaner,design,
designprinciper,,designprinciper,design,
designprocessen,,designprocessen,design,
designprogram,,design,design,
designprojekt,,design,design,
designspecifikationer,,design,design,
designsystem,,design,design,
designsäkerhet,,designsäkerhet,design,
designteam,,design,design,
designteknik,,designteknik,design,
designuppdrag,,design,design,
designverktyg,,design,design,
designvetenskap,,design,design,
detektion,,,,
device drivers,,,,
dfa,,,,
dft,,,,
dhcp,,dhcp,dhcp,
dhtml,,dhtml,dhtml,
digital bildbehandling,,,,
digital command language,,,,
digital design,,,,
digital marknadsföring,,,,
digital signage,,,,
digitaliseringsarbete,,,,
digitaliseringsfrågor,,,,
digitaliseringsområdet,,,,
digitaliseringsprocess,,,,
digitaliseringsprojekt,,,,
digitaliseringstjänster,,,,
digitaliseringsutvecklingsprojekt,,,,
digitalkommunikation,,,,
digitalteknik,,,,
diktering,,,,
dimensionering,,,,
dimensionsmodellering,,,,
direct3d,,direct3d,3d,
directx,,,,
displaysystem,,,,
dissemination,,,,
distansarbete,,remote work,remote work,
distansundervisning,,,,
disti,,,,
distribuerade system,,,,
distributed computing,,,,
distribution,,,,
distributionssystem,,,,
distributionsverktyg,,,,
dita,,,,
django,,django,django,
dl1,,,,
dm,,,,
dmz,,dmz,dmz,
dns,,dns,dns,
dnssec,,dbssec,dns,
docato,,,,
docbook,,,,
docker,,docker,container,
dockerfile,,docker,container,
doe,,,,
dojo,,,,
dokumentation,,dokumentation,dokumentation,
dokumentationsarbete,,dokumentation,dokumentation,
dokumentationshanteringssystem,,dokumentation,dokumentation,
dokumentationsmetoder,,dokumentation,dokumentation,
dokumentationssystem,,dokumentation,dokumentation,
dokumentationsvana,,dokumentation,dokumentation,
dokumenterad säkerhetsteknikutbildning,,it-säkerhet,it-säkerhet,
domänadministration,,dns,dns,
domändriven design,,domändriven design,domändriven design,
domänhantering,,dns,dns,
domänmodellering,,dns,dns,
dos,,,,
dot,,,,
dotnet,,.net,.net,
dotnet grupp,,.net,.net,
dotnet lösningar,,.net,.net,
dotnet miljö,,.net,.net,
dotnet miljön,,.net,.net,
dotnet plattform,,.net,.net,
dotnet plattformen,,.net,.net,
dotnet ramverket,,.net,.net,
dotnet utvecklare,,.net,.net,
dotnet utveckling,,.net,.net,
dovecot,,,,
dpcom,,,,
dpdk,,,,
drawing,,,,
driftsäkerhet,,it-säkerhet,it-säkerhet,
driftsäkerhetsanalyser,,it-säkerhet,it-säkerhet,
drm,,,,
dropwizard,,,,
drupal,,,,
dsc,,,,
dsl,,,,
dsp,,,,
dspace,,,,
dtrace,,,,
duc,,,,
ductus,,,,
dw,,,,
dwdm,,,,
dxc,,,,
dylan,,,,
dynamics,,,,
dynamics crm,,,,
dynamics_ax,,,,
dynamics_nav,,,,
dynamodb,,,,
dynatrace,,,,
e-commerce,,e-handel,e-handel,
e-handel,,e-handel,e-handel,
e-handelslösningar,,e-handel,e-handel,
e-handelsplatser,,e-handel,e-handel,
e-handelsplattformar,,e-handel,e-handel,
e-handelssystem,,e-handel,e-handel,
e-hälsofrågor,,e-handel,e-handel,
e-learning,,e-learning,e-learning,
e3,,e3,3d,
e3d,,e3d,3d,
eagle,,,,
easymock,,,,
ebr,,,,
ec2,,,,
ecc,,,,
eclipse,,eclipse,eclipse,
eclipselink,,eclipse,eclipse,
ecm,,,,
ecmascript,,ecmascript,javascript,
ecompanion,,,,
ecu,,,,
edi,,,,
edifact,,,,
edirectory,,,,
editing,,,,
